game_id,rated,start_time,end_time,turns,victory_status,winner,time_increment,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply
148047756232,TRUE,1768492509000,1768492846000,92,mate,black,180,shanew012,508,Macaet,544,e4 e5 Nf3 Qf6 Bc4 Bc5 O-O c6 Nc3 Ne7 a3 Ng6 b4 Bd4 Nxd4 exd4 Ne2 d3 cxd3 Qxa1 Nd4 Qxd4 Qf3 O-O a4 Na6 b5 Nb4 bxc6 Nxc6 Ba3 Nce5 Qf5 d6 Rb1 Bxf5 Bb2 Qc5 Bxe5 dxe5 Rb5 Qa3 g3 Qc1+ Kg2 Qxd2 Rxb7 Bg4 h3 Be2 Bd5 Bxd3 Bb3 Bxe4+ Kf1 Bd3+ Kg2 e4 Bd5 Bf1+ Kxf1 Qxd5 Rb4 Ne5 Kg2 Nd3 f3 exf3+ Kf1 f2 Ke2 Qh1 Kxd3 f1=Q+ Kc3 Qfxh3 Kd4 Qxg3 Kc5 Qh5+ Kc4 Qgg4+ Kb3 Rab8 a5 Rxb4+ Ka3 Qhh3+ Ka2 Qgg2+ Ka1 Qhh1#,C40,Kings Pawn Opening Kings Knight Variation,
148017671790,TRUE,1768425962000,1768426270000,56,outoftime,black,180,dbastine,519,shanew012,515,e4 e5 b4 Nf6 a3 Nxe4 Bb2 g6 Nf3 Bg7 Nxe5 Bxe5 Bxe5 O-O d3 Re8 d4 Nc6 c3 Nxe5 dxe5 Rxe5 Be2 b6 Qd4 Qe8 O-O c5 Qd3 cxb4 axb4 a5 Nd2 Ba6 Qf3 Nxd2 Qxa8 Qxa8 Bxa6 Nxf1 Bxf1 axb4 Rxa8+ Kg7 Bc4 d5 Bf1 bxc3 Rc8 d4 f4 Re1 Rd8 c2 Rxd4 c1=Q,C20,Kings Pawn Opening,1
148007586218,TRUE,1768409455000,1768409809000,73,outoftime,white,180,shanew012,506,Esen-Maks,503,e4 e5 Nf3 Qf6 Bc4 Bc5 Nc3 c6 a3 g5 b4 Bb6 d4 exd4 Na4 Bc7 Nxd4 d6 Qf3 Qg7 Nf5 Bxf5 Bb2 Qxb2 Nxb2 Bg6 Nd3 b5 Bb3 Nd7 e5 dxe5 Nxe5 Bxe5 O-O Bxa1 Re1+ Be5 c4 a6 cxb5 axb5 a4 Rxa4 Bxa4 bxa4 Qxc6 Nf6 Qa8+ Ke7 Qxh8 Ng4 Qa8 h5 Qa7 h4 f3 Nf6 Rxe5+ Kf8 Qa8+ Kg7 Qxa4 Nxe5 g3 hxg3 hxg3 Nxf3+ Kf2 Nd4 b5 Nd5 b6,C40,Kings Pawn Opening Kings Knight Variation,
147981921388,TRUE,1768356124000,1768356479000,128,mate,black,180,virinique,503,shanew012,498,e4 e5 Nf3 Nf6 Nxe5 Nxe4 d3 d6 Nxf7 Kxf7 Qf3+ Nf6 Bg5 Nc6 Qd5+ Nxd5 Bxd8 Nxd8 c4 Nb4 Na3 Nc2+ Nxc2 c6 O-O-O d5 c5 b6 d4 bxc5 dxc5 Ne6 b4 a5 b5 cxb5 Bxb5 Nxc5 Rxd5 a4 a3 Ke6 Rd4 Nb3+ Kb2 Nxd4 Re1+ Kd5 Ne3+ Kc5 Bd3 g5 Rc1+ Kd6 Be4 Rb8+ Kc3 Ne2+ Kd2 Nxc1 Kxc1 Bh6 Ng4 Bg7 f3 Bb2+ Kb1 Bxa3+ Ka2 Bxg4 Kxa3 Rb3+ Kxa4 Rhb8 fxg4 R3b4+ Ka5 Rxe4 Ka6 Rxg4 h3 Rxg2 Ka7 Rb3 Ka6 Rxh3 Kb5 g4 Kc4 g3 Kd3 Rf2 Ke3 g2+ Kxf2 Rh1 Kxg2 Re1 Kf2 Re6 Kg2 h5 Kh3 Ke7 Kh4 Re5 Kh3 Kf6 Kg3 Kg6 Kf4 Rg5 Kf3 h4 Kf2 h3 Kf3 h2 Kf4 h1=Q Ke3 Qh4 Kf3 Rg3+ Ke2 Qh2+ Kf1 Rg1#,C42,Petrovs Defense Classical Variation,
147980707076,TRUE,1768352634000,1768353005000,101,outoftime,white,180,ElMaori,497,shanew012,489,e4 e5 Nf3 Nf6 Nc3 g6 Nxe5 Bg7 Bc4 c6 Nxf7 Qe7 Nxh8 Nxe4 Qe2 Bxh8 Nxe4 d5 Nd6+ Kd7 Nxc8 Qxe2+ Bxe2 Kxc8 O-O Na6 Bg4+ Kc7 d3 Nb4 Bd1 c5 c3 Nxd3 Bc2 Nxc1 Raxc1 d4 cxd4 cxd4 Rcd1 Kd6 b3 b5 Bd3 a5 Bxb5 Rb8 Bc4 h5 h3 g5 Rfe1 Kc5 Rc1 Kb4 Re6 a4 Rb1 axb3 axb3 Kc3 Rc1+ Kb2 Rce1 Rd8 R1e2+ Kc3 Rc6 d3 Bxd3+ Kxd3 Re1 Kd2 Rcc1 Rd3 b4 Bb2 Rb1 Bc3 b5 g4 hxg4 hxg4 Kf1 Ba5 Red1+ Kc3 Rxd3+ Kxd3 Rd1+ Kc3 Ra1 Kb4 Rb1+ Kc5 g3 Kb6 Kg2 Bd2 f4,C42,Petrovs Defense Three Knights Game,
147980606674,TRUE,1768352346000,1768352526000,46,mate,black,180,shanew012,497,jarfallaik,493,e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 Be7 Nxf7 O-O Nxd8+ Kh8 Nxc6 bxc6 d4 d5 exd5 cxd5 dxe5 Ng4 f3 Nxe5 Bxd5 Nxf3+ gxf3 Bh4+ Ke2 Ba6+ c4 Rae8+ Kd2 Bg5+ Kc3 Bf6+ Kb4 c5+ Kxc5 Rc8+ Kb4 Rb8+ Kc5 Rfc8+ Kd6 Rd8+ Kc6 Rbc8#,C57,Italian Game Knight Attack,
147980506866,TRUE,1768352061000,1768352263000,64,resign,black,180,Dongki1237,483,shanew012,505,e4 e5 Nf3 Nf6 Nc3 g6 Nxe5 Bg7 Bc4 O-O Nf3 c6 d3 d5 exd5 cxd5 Bb3 Ng4 Qe2 Bxc3+ bxc3 Re8 Be3 Nxe3 fxe3 Nc6 O-O-O Bg4 h3 Bxf3 Qxf3 a5 h4 b5 c4 a4 cxb5 axb3 bxc6 Rc8 g4 Rxc6 axb3 Ra6 Kd2 f5 h5 fxg4 Qxg4 d4 hxg6 dxe3+ Ke2 hxg6 Qxg6+ Rxg6 Rhf1 Rg2+ Ke1 e2 Rf2 Rxf2 Kxf2 exd1=Q,C42,Petrovs Defense Three Knights Game,
147980369552,TRUE,1768351671000,1768352035000,71,draw,draw,180,shanew012,497,4freedom4equality,517,e4 e5 Nf3 d6 Bc4 Be6 Bxe6 fxe6 Nc3 Nd7 d4 exd4 Nxd4 e5 Ne6 Qe7 Nxc7+ Kd8 Nxa8 Nc5 O-O Nf6 Nd5 Nxd5 exd5 Qf6 Qg4 Be7 h4 h5 Qg3 Kd7 Bg5 Qf5 Bxe7 Kxe7 Qxg7+ Qf7 Qxh8 Ne4 f3 Ng3 Rfe1 Qf4 Qh7+ Kf8 Qh8+ Kf7 c4 Qd4+ Kh2 Qxh4+ Kg1 Qd4+ Kh2 Qh4+ Kg1 Qd4+ Re3 Qxe3+ Kh2 Qf4 Qh7+ Kf8 Qh8+ Kf7 Qh7+ Kf8 Qh6+ Kf7 Qh7+,C41,Philidor Defense,1
147963434406,TRUE,1768320957000,1768321144000,41,mate,white,180,Vaayusena,503,shanew012,496,e3 e5 d4 exd4 Qxd4 Nc6 Qe4+ Be7 Qg4 Nf6 Qxg7 Rg8 Qh6 Bf8 Qf4 Qe7 Nf3 d5 Nd4 Nxd4 Qxd4 Be6 Bd2 O-O-O Nc3 Rg4 Qxa7 Ne4 Qa8+ Kd7 Bb5+ c6 Qxb7+ Kd6 Qxc6+ Ke5 f4+ Kf5 Nxe4 Kxe4 Bd3#,A00,Van t Kruijs Opening,1
147963196548,TRUE,1768320599000,1768320953000,78,mate,black,180,shanew012,504,MaNinLight1,525,e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 d5 exd5 Nd4 d6 Be6 Bxe6 Nxe6 Nxe6 fxe6 O-O Bxd6 Nc3 O-O d4 Qc8 dxe5 Bxe5 Ne4 Nxe4 f3 Nd6 Re1 Bf4 Bxf4 Rxf4 b3 Rf8 c4 b6 a4 Nf5 b4 c6 b5 cxb5 axb5 Ne7 Kf2 h6 Kg3 Qb8+ Kh3 Qc8 Rc1 Nf5 c5 bxc5 g4 Nd4 Re4 Rxf3+ Kg2 Nxb5 Qxf3 Nd4 Qe3 Qc6 Kf2 Rf8+ Ke1 Nf3+ Ke2 Qb6 Rxe6 Nd4+ Kd3 Nxe6 Re1 Nf4+ Kc4 Qb4#,C57,Italian Game Knight Attack Fritz Variation,
