time_increment,victory_status,game_count
1+10,resign,3
8+3,mate,8
60+3,mate,1
5+7,outoftime,5
10+6,mate,9
7+14,resign,7
7+8,outoftime,5
3+15,mate,1
1+30,resign,5
6+3,resign,10
60+60,resign,3
3+10,mate,6
13+3,resign,10
5+15,outoftime,4
20+3,resign,23
45+4,draw,1
45+5,resign,2
20+30,draw,3
8+10,mate,13
10+180,resign,1
90+0,mate,5
120+0,mate,3
9+2,mate,4
30+7,outoftime,1
20+10,outoftime,8
14+4,mate,2
30+5,mate,13
17+3,resign,2
20+1,mate,4
6+8,outoftime,4
13+2,resign,3
7+7,mate,19
6+20,mate,2
180+60,mate,1
5+7,mate,14
90+30,resign,6
60+30,resign,10
10+30,draw,4
10+30,resign,13
30+30,draw,13
30+30,outoftime,4
40+30,resign,2
20+8,mate,9
8+1,resign,9
30+35,mate,1
30+35,draw,1
10+11,mate,3
1+12,outoftime,2
1+12,mate,1
4+10,outoftime,2
11+11,resign,6
18+5,resign,6
16+7,draw,1
8+9,resign,7
10+15,outoftime,4
15+11,resign,1
9+5,resign,21
20+5,outoftime,5
25+5,draw,2
19+17,mate,1
19+17,resign,1
90+30,mate,6
14+14,mate,3
17+15,mate,1
17+15,resign,1
18+0,mate,4
7+6,mate,3
7+6,draw,2
25+15,resign,13
3+15,resign,4
40+2,mate,1
40+2,resign,2
20+7,resign,2
10+20,draw,1
10+20,mate,3
12+9,mate,4
14+17,resign,2
14+20,mate,1
14+20,resign,1
10+13,mate,1
30+8,mate,8
30+8,resign,10
30+9,mate,1
30+4,resign,3
10+25,outoftime,4
30+20,resign,4
19+0,mate,4
5+180,mate,1
10+20,resign,8
15+20,resign,2
7+9,resign,24
5+13,resign,1
30+45,outoftime,1
25+4,resign,3
10+13,draw,1
60+10,outoftime,1
25+1,resign,5
12+4,resign,2
11+4,resign,7
11+4,outoftime,1
8+7,resign,5
8+1,outoftime,3
11+0,draw,1
11+0,outoftime,6
16+0,draw,4
13+0,resign,13
6+10,mate,5
4+10,resign,3
6+5,draw,2
60+5,resign,3
9+11,resign,2
1+15,resign,2
12+3,resign,10
2+16,resign,1
13+5,resign,4
20+4,mate,1
10+4,outoftime,3
40+1,resign,1
20+20,mate,26
45+5,mate,1
6+5,outoftime,4
17+16,resign,1
12+8,mate,5
5+6,outoftime,6
8+3,outoftime,5
5+60,outoftime,3
60+60,outoftime,1
10+13,resign,1
3+8,outoftime,3
25+3,resign,24
20+3,outoftime,2
11+10,resign,3
11+10,outoftime,1
1+19,resign,3
40+60,resign,2
15+7,mate,7
30+9,resign,2
7+35,resign,2
16+10,resign,1
9+17,outoftime,1
9+17,mate,1
2+10,outoftime,1
40+10,mate,1
15+12,resign,5
15+12,mate,3
20+2,resign,4
45+45,mate,14
10+12,mate,1
35+10,mate,1
18+20,resign,1
8+8,outoftime,1
6+15,resign,1
19+20,resign,1
20+20,draw,3
11+1,draw,1
20+5,draw,4
30+150,mate,1
14+8,resign,2
35+3,resign,10
35+3,outoftime,2
35+3,mate,2
35+3,draw,2
30+3,draw,1
6+4,mate,6
13+0,mate,8
9+0,outoftime,16
17+0,mate,5
40+15,resign,2
1+10,mate,1
20+20,outoftime,1
12+5,resign,12
25+5,outoftime,1
17+0,resign,6
14+0,outoftime,4
14+6,resign,2
20+40,resign,8
20+40,mate,5
14+10,mate,1
13+14,mate,1
12+1,resign,2
8+4,resign,10
8+7,mate,5
180+25,mate,3
7+9,mate,23
9+5,mate,16
12+10,mate,13
7+5,outoftime,1
12+12,mate,4
2+20,mate,1
12+11,resign,1
45+15,mate,2
30+15,mate,3
10+12,outoftime,1
7+7,outoftime,4
13+13,outoftime,1
13+13,mate,1
16+8,resign,4
60+7,mate,1
15+7,outoftime,2
45+1,resign,4
30+0,outoftime,12
20+11,draw,1
150+8,resign,1
150+8,draw,1
5+180,draw,1
20+180,resign,1
7+10,resign,28
90+5,resign,1
25+0,outoftime,13
60+10,mate,1
9+6,mate,6
45+8,mate,1
17+90,mate,1
14+12,outoftime,1
30+6,mate,2
18+19,resign,1
10+12,resign,3
0+12,mate,1
0+12,draw,1
9+4,outoftime,2
10+4,draw,1
12+5,draw,1
35+0,resign,1
7+10,outoftime,1
7+15,outoftime,3
7+15,resign,21
7+15,mate,7
7+14,outoftime,1
7+14,draw,1
5+12,outoftime,1
1+25,mate,1
11+3,mate,1
120+0,resign,3
0+12,resign,3
17+13,resign,1
11+8,mate,3
18+0,outoftime,2
6+6,draw,1
16+8,mate,2
9+8,resign,22
4+8,outoftime,3
6+3,outoftime,2
12+12,draw,1
12+10,draw,1
13+12,mate,5
13+12,resign,6
16+4,mate,1
10+2,draw,8
19+8,mate,1
20+15,draw,4
14+8,outoftime,1
